row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
178,2020-03,0,29,"1,137","2,901",0,18,1,1,1,0,0,88,,,,
179,2020-03,0,30,"1,139","3,042",0,18,1,1,1,0,0,88,,,,
180,2020-03,0,31,"1,137","2,890",0,18,1,1,1,0,0,88,,,,
181,2020-03,1,32,"1,494","3,616",0,17,1,1,1,0,0,88,,,,
182,2020-03,1,33,"1,261","2,989",0,17,1,1,1,0,0,88,,,,
183,2020-03,1,34,"1,303","3,111",0,18,1,1,1,0,0,88,,,,
184,2020-03,1,35,"1,493","3,337",0,16,1,1,1,0,0,88,,,,
185,2020-03,1,36,"1,489","3,254",0,18,1,1,1,0,0,88,,,,
186,2020-03,1,37,"1,508","2,982",0,18,1,1,1,0,0,88,,,,
187,2020-03,1,38,"1,521","3,153",0,17,1,1,1,0,0,88,,,,
188,2020-03,1,39,"1,593","2,992",0,15,1,1,1,0,0,88,,,,
189,2020-03,1,40,"1,521","3,025",0,16,1,1,1,0,0,88,,,,
190,2020-03,1,41,"1,472","2,906",0,18,1,1,1,0,0,88,,,,
191,2020-03,1,42,"1,560","2,846",0,18,1,1,1,0,0,88,,,,
192,2020-03,1,43,"1,479","2,772",0,18,1,1,1,0,0,88,,,,
193,2020-03,1,44,"1,718","3,040",0,16,1,1,1,0,0,88,,,,
194,2020-03,1,45,"1,576","2,850",0,18,1,1,1,0,0,88,,,,
195,2020-03,1,46,"1,661","2,878",0,17,1,1,1,0,0,88,,,,
196,2020-03,1,47,"1,654","2,776",0,19,1,1,1,0,0,88,,,,
197,2020-03,1,48,"1,684","2,874",0,19,1,1,1,0,0,88,,,,
198,2020-03,1,49,"1,684","2,856",0,17,1,1,1,0,0,88,,,,
199,2020-03,1,50,"1,539","2,762",0,19,1,1,1,0,0,88,,,,
200,2020-03,1,51,"1,510","2,525",0,17,1,1,1,0,0,88,,,,
201,2020-03,1,52,"1,517","2,507",0,17,1,1,1,0,0,88,,,,
202,2020-03,1,53,"1,453","2,504",0,17,1,1,1,0,0,88,,,,
203,2020-03,1,54,"1,389","2,413",0,17,1,1,1,0,0,88,,,,
204,2020-03,1,55,"1,411","2,370",0,17,1,1,1,0,0,88,,,,
205,2020-03,1,56,"1,451","2,593",0,17,1,1,1,0,0,88,,,,
206,2020-03,1,57,"1,403","2,649",0,18,1,1,1,0,0,88,,,,
207,2020-03,1,58,"1,491","2,487",0,17,1,1,1,0,0,88,,,,
208,2020-03,1,59,"1,439","2,374",0,16,1,1,1,0,0,88,,,,
209,2020-03,1,60,"1,325","2,363",0,16,1,1,1,0,0,88,,,,
210,2020-03,1,61,"1,276","2,350",0,17,1,1,1,0,0,88,,,,
211,2020-03,1,62,"1,204","2,262",0,18,1,1,1,0,0,88,,,,
212,2020-03,0,63,"1,199","2,128",0,15,1,1,1,0,0,88,,,,
213,2020-03,0,64,"1,103","2,087",0,15,1,1,1,0,0,88,,,,
214,2020-03,0,65,"1,017","1,973",0,17,1,1,1,0,0,88,,,,
215,2020-03,0,66,957,"1,797",0,16,1,1,1,0,0,88,,,,
216,2020-03,0,67,912,"1,765",0,16,1,1,1,0,0,88,,,,
217,2020-03,0,68,846,"1,578",0,16,1,1,1,0,0,88,,,,
218,2020-03,0,69,733,"1,409",0,17,1,1,1,0,0,88,,,,
219,2020-03,0,70,690,"1,357",0,15,1,1,1,0,0,88,,,,
220,2020-03,0,71,626,"1,301",1,16,1,1,1,0,0,88,,,,
221,2020-03,0,72,575,"1,233",0,14,1,1,1,0,0,88,,,,
222,2020-03,0,73,546,"1,135",0,16,1,1,1,0,0,88,,,,
223,2020-03,0,74,537,926,0,16,1,1,1,0,0,88,,,,
